number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.764056397829259,2026-05-12 12:12:38.855890,2026-05-12 12:12:39.191331,0 days 00:00:00.335441,0.7993292420985183,5,0.8659969709057025,0.16730402817820234,0.41604396452566056,0.010485387725194618,58,0.48495492608099716,28,COMPLETE
1,0.7540180083316141,2026-05-12 12:12:39.191746,2026-05-12 12:12:40.001936,0 days 00:00:00.810190,0.5917022549267169,1,0.5909124836035503,0.18332660870188128,0.003280829084730048,0.019594972058679168,16,0.18318092164684585,54,COMPLETE
2,0.7620294093714597,2026-05-12 12:12:40.002308,2026-05-12 12:12:40.400489,0 days 00:00:00.398181,0.7571172192068059,3,0.5998368910791798,0.0017402990823522548,3.2351851456174283,0.0923915031962725,48,0.40419867405823057,32,COMPLETE
3,0.7468040364891424,2026-05-12 12:12:40.400856,2026-05-12 12:12:41.476375,0 days 00:00:01.075519,0.7200762468698007,5,0.8421165132560784,0.009061902594114376,0.2822604678393959,0.02049798052095018,10,0.2600340105889054,24,COMPLETE
4,0.7477040379392889,2026-05-12 12:12:41.476747,2026-05-12 12:12:43.173597,0 days 00:00:01.696850,0.8875664116805573,0,0.9847923138822793,0.002124863863243128,0.00530804663077594,0.011097554561103107,15,0.16266516538163217,38,COMPLETE
5,0.7451041329093455,2026-05-12 12:12:43.173988,2026-05-12 12:12:43.839614,0 days 00:00:00.665626,0.6783766633467947,5,0.9143687545759647,0.0018869508789698256,4.471622947037383,0.059189513354636465,20,0.0993578407670862,29,COMPLETE
6,0.7505910900829724,2026-05-12 12:12:43.840001,2026-05-12 12:12:44.194834,0 days 00:00:00.354833,0.8645035840204937,0,0.8534286719238086,1.5580940996926471,0.20209756220944183,0.02142387495644906,50,0.03177917514301182,7,COMPLETE
7,0.747412810709801,2026-05-12 12:12:44.195205,2026-05-12 12:12:44.998188,0 days 00:00:00.802983,0.8187787356776066,0,0.864803089169032,0.6518100832986183,0.11916467090032154,0.05901564798023389,23,0.24689779818219537,24,COMPLETE
8,0.7574010767678456,2026-05-12 12:12:44.998569,2026-05-12 12:12:45.668574,0 days 00:00:00.670005,0.5539457134966522,1,0.5127095633720475,2.27541786736501,0.008358425539630962,0.02572663133249956,28,0.37777556927152434,36,COMPLETE
9,0.7482769521680621,2026-05-12 12:12:45.668952,2026-05-12 12:12:46.466585,0 days 00:00:00.797633,0.5806106436270022,0,0.6448757264568841,0.9392017773650364,0.004899108428855477,0.07808345085542412,9,0.26967112095782536,20,COMPLETE
10,0.75872975677696,2026-05-12 12:12:46.466960,2026-05-12 12:12:46.977121,0 days 00:00:00.510161,0.8953251220508419,5,0.8941192244377669,1.4313479826643833,3.9895415783973136,0.017835945023234694,49,0.4302583911459092,40,COMPLETE
11,0.7622331221741503,2026-05-12 12:12:46.977535,2026-05-12 12:12:47.450772,0 days 00:00:00.473237,0.7610262739077298,3,0.5974596564927749,0.0012610159003437326,2.8040160498374154,0.06608867745743789,43,0.4374801038030121,33,COMPLETE
12,0.7627031017746142,2026-05-12 12:12:47.451161,2026-05-12 12:12:47.852085,0 days 00:00:00.400924,0.8234770543329467,5,0.8681699251231874,0.01847324925438781,0.01910068200112881,0.012066310333076197,60,0.4212222452256063,35,COMPLETE
13,0.7592143797225763,2026-05-12 12:12:47.852480,2026-05-12 12:12:48.219251,0 days 00:00:00.366771,0.7826894891372332,5,0.9398589004265618,0.015467309240640121,0.001968662152489783,0.011020960491341601,47,0.4575537989055019,31,COMPLETE
14,0.7560461081703052,2026-05-12 12:12:48.219643,2026-05-12 12:12:48.545637,0 days 00:00:00.325994,0.7009780899508349,5,0.6792697689508276,0.13332989169508175,0.2031721115514731,0.013687289329801731,55,0.43304131369784815,39,COMPLETE
15,0.7629202878681809,2026-05-12 12:12:48.546014,2026-05-12 12:12:48.857675,0 days 00:00:00.311661,0.7915126479117753,1,0.8451553735096609,0.028112435062318235,0.11785961347876775,0.017332723968610884,58,0.42752413370783987,21,COMPLETE
16,0.7641529190123287,2026-05-12 12:12:48.858028,2026-05-12 12:12:49.179703,0 days 00:00:00.321675,0.7492985634222045,1,0.7851552763076818,0.1841850975628909,0.170468558372846,0.02653370958654945,51,0.3875976133474375,15,COMPLETE
17,0.7623689824755079,2026-05-12 12:12:49.180102,2026-05-12 12:12:49.522948,0 days 00:00:00.342846,0.8544951662473537,1,0.5351136183012118,0.41531184327609866,2.7087933847070484,0.03328400913197391,57,0.3601558847169876,23,COMPLETE
18,0.7567346192273223,2026-05-12 12:12:49.523329,2026-05-12 12:12:49.848752,0 days 00:00:00.325423,0.882153503461283,5,0.9250693629874404,0.5246832735975424,0.12147841330888576,0.05154947107833907,55,0.4879446022449328,19,COMPLETE
19,0.762553321299774,2026-05-12 12:12:49.849119,2026-05-12 12:12:50.231552,0 days 00:00:00.382433,0.6485474837164562,5,0.9978449689312822,0.41744984306602806,0.09779503448076379,0.011065127613686873,48,0.4069524017090448,32,COMPLETE
20,0.7557252027962333,2026-05-12 12:12:50.231914,2026-05-12 12:12:50.756301,0 days 00:00:00.524387,0.773611447505777,1,0.6439630585402292,0.2303983420710864,0.029514196709799313,0.022068391003861154,38,0.29630143203695813,18,COMPLETE
21,0.756266244416667,2026-05-12 12:12:50.756664,2026-05-12 12:12:51.041335,0 days 00:00:00.284671,0.7537769949581217,1,0.8601046322163683,0.013330954906743018,0.6160442923998781,0.01727335767038189,52,0.3724895107801696,11,COMPLETE
22,0.7556974498605251,2026-05-12 12:12:51.041703,2026-05-12 12:12:51.395023,0 days 00:00:00.353320,0.8868303816445974,5,0.8274097007667327,0.06334894145206676,0.7524398811411128,0.013135738904787933,56,0.35989736874148526,21,COMPLETE
23,0.7539931212251647,2026-05-12 12:12:51.395399,2026-05-12 12:12:51.744879,0 days 00:00:00.349480,0.6945227536139643,0,0.8786100321239286,0.04868387380590339,0.0221694014114327,0.026317427454815752,60,0.4271186290722257,13,COMPLETE
24,0.7594446655601901,2026-05-12 12:12:51.745246,2026-05-12 12:12:52.107467,0 days 00:00:00.362221,0.8945775652242155,1,0.8800556521450567,0.5632521035412205,0.0446404998200391,0.012965032367299706,48,0.46424605362417093,15,COMPLETE
25,0.7521704623359469,2026-05-12 12:12:52.107830,2026-05-12 12:12:52.385511,0 days 00:00:00.277681,0.6187323785105784,1,0.8281376969084742,0.4085856978400014,0.3176471587426754,0.019362185891355736,58,0.39882617609175913,38,COMPLETE
26,0.7500982461074754,2026-05-12 12:12:52.385895,2026-05-12 12:12:52.897928,0 days 00:00:00.512033,0.731526074354219,0,0.7443866222756597,1.3010704435149971,0.596816274946762,0.04468717473572686,40,0.43724916761991883,12,COMPLETE
27,0.7610303876395556,2026-05-12 12:12:52.898310,2026-05-12 12:12:53.241845,0 days 00:00:00.343535,0.8094401220723291,3,0.7696217720532941,0.0067417472093672945,0.0702451190586068,0.024220135395153938,55,0.3855995207744993,24,COMPLETE
28,0.7564422325676036,2026-05-12 12:12:53.242229,2026-05-12 12:12:53.607406,0 days 00:00:00.365177,0.8076203676726357,1,0.9685224772715142,0.06381717938020627,0.7132653670771373,0.020467099903484585,47,0.4462242399648302,39,COMPLETE
29,0.7532135733259014,2026-05-12 12:12:53.607782,2026-05-12 12:12:54.194158,0 days 00:00:00.586376,0.7494727933890802,1,0.8395367676396361,1.1888581310555797,3.331235744349269,0.024399960679543718,30,0.3492970495490889,14,COMPLETE
30,0.7614516742690226,2026-05-12 12:12:54.194539,2026-05-12 12:12:54.615700,0 days 00:00:00.421161,0.7093232811201455,1,0.8335295271198122,0.16320153474574833,0.05459405126892694,0.042431530392544214,53,0.3308203148405461,17,COMPLETE
31,0.7579081898264701,2026-05-12 12:12:54.616084,2026-05-12 12:12:54.974231,0 days 00:00:00.358147,0.9068261442175357,5,0.8198403079897134,0.013733461811862947,0.006008797760194782,0.01826102837369112,53,0.494529317029695,54,COMPLETE
32,0.7558498790064665,2026-05-12 12:12:54.974653,2026-05-12 12:12:55.335113,0 days 00:00:00.360460,0.9323394900584484,5,0.8693099527059037,0.015914493325064387,0.04191219781293288,0.015499833284410331,60,0.3893255836999607,35,COMPLETE
33,0.7525183640295435,2026-05-12 12:12:55.335513,2026-05-12 12:12:55.705626,0 days 00:00:00.370113,0.9538331594836404,0,0.9786585569826396,0.01021236272805239,0.46177475108958566,0.02461296141483165,55,0.48732914265281285,16,COMPLETE
34,0.7564459871814118,2026-05-12 12:12:55.706013,2026-05-12 12:12:56.045814,0 days 00:00:00.339801,0.6567247825682703,5,0.8857992410077493,0.12153497914256324,2.315892053002989,0.021636839053181284,56,0.47578393289382215,12,COMPLETE
35,0.7656942616835796,2026-05-12 12:12:56.046225,2026-05-12 12:12:56.599246,0 days 00:00:00.553021,0.6794564444822642,1,0.8042157732610001,0.053684117671480645,0.10243816108192864,0.014335000603436957,44,0.3846676281664705,26,COMPLETE
36,0.7532049369646692,2026-05-12 12:12:56.599632,2026-05-12 12:12:57.331211,0 days 00:00:00.731579,0.6484418156707469,0,0.8291244597333682,0.03937362341591872,0.10304608326041477,0.02025454863146729,41,0.3217745389960239,35,COMPLETE
37,0.7629006933495397,2026-05-12 12:12:57.331602,2026-05-12 12:12:57.640085,0 days 00:00:00.308483,0.7892784990108197,1,0.815347304669435,0.018544393063327745,0.0323048109049667,0.023819319036055265,59,0.41151893330246475,27,COMPLETE
38,0.7495447129270825,2026-05-12 12:12:57.640470,2026-05-12 12:12:58.020231,0 days 00:00:00.379761,0.7479765140732648,5,0.8639696382469724,2.172857091869603,0.3119864911727268,0.0104816411426422,59,0.4195322307504785,12,COMPLETE
39,0.7548879434170133,2026-05-12 12:12:58.020611,2026-05-12 12:12:58.271247,0 days 00:00:00.250636,0.7179553028311304,1,0.8591520738997056,0.010395151208622968,0.3472565185926417,0.011342019311982959,60,0.47550157783151953,29,COMPLETE
40,0.7485368555618054,2026-05-12 12:12:58.271613,2026-05-12 12:12:58.683643,0 days 00:00:00.412030,0.5006438816077904,1,0.751719078157736,0.05977662374236649,0.03367082446868463,0.02432646365573049,45,0.48757352948347693,25,COMPLETE
41,0.7572007874596418,2026-05-12 12:12:58.684024,2026-05-12 12:12:59.060327,0 days 00:00:00.376303,0.8787129539494882,1,0.7844356008678066,0.18477419033774076,0.1118073102638121,0.031827670856055174,54,0.441673500022242,34,COMPLETE
42,0.7573160766829237,2026-05-12 12:12:59.060724,2026-05-12 12:12:59.603857,0 days 00:00:00.543133,0.8135372382187498,1,0.8752184059429929,0.0019238234041244107,0.017630536420509775,0.020064975500019098,40,0.30519341255594823,19,COMPLETE
43,0.7604217851788572,2026-05-12 12:12:59.604236,2026-05-12 12:12:59.908158,0 days 00:00:00.303922,0.749638782566161,1,0.6489735651297965,0.008662421734693431,0.034386170240441945,0.011624381239514878,46,0.3137872297261093,42,COMPLETE
44,0.7644235369873262,2026-05-12 12:12:59.908530,2026-05-12 12:13:00.219408,0 days 00:00:00.310878,0.8035905600350869,3,0.8843938637635771,0.12231398509639192,0.14811925863619518,0.017853065850037878,55,0.46757723599286966,27,COMPLETE
45,0.7581707710437753,2026-05-12 12:13:00.219777,2026-05-12 12:13:00.574256,0 days 00:00:00.354479,0.7882807291252588,3,0.9393511479779139,0.059894965224644055,0.1304843307241903,0.021661182796719303,58,0.41314618172768247,22,COMPLETE
46,0.7542590288414545,2026-05-12 12:13:00.574620,2026-05-12 12:13:00.860071,0 days 00:00:00.285451,0.6277805363185146,1,0.8083264577460627,0.07867051334433557,0.02356812066050082,0.011024194884886183,53,0.37464255873978475,26,COMPLETE
47,0.7528609893664517,2026-05-12 12:13:00.860442,2026-05-12 12:13:01.210724,0 days 00:00:00.350282,0.7596451951694017,3,0.6806013144357288,1.2116968185229766,0.08764673833029529,0.023229908702481643,44,0.4643781604389873,36,COMPLETE
48,0.7567886138919357,2026-05-12 12:13:01.211078,2026-05-12 12:13:01.542185,0 days 00:00:00.331107,0.6964838890947745,3,0.8740348122458974,0.11048206473534616,0.4360799928364767,0.010575124076439141,58,0.46439640605927335,16,COMPLETE
49,0.7569555475744598,2026-05-12 12:13:01.542570,2026-05-12 12:13:01.924873,0 days 00:00:00.382303,0.9385327271501824,3,0.8361117736894612,0.7064849621757212,0.1430364704348759,0.01567582081485376,48,0.4260379515212047,34,COMPLETE
