Fase,n,pos_rate,roc_auc,pr_auc
0,174,0.5919540229885057,0.7157117462053877,0.7968162554166058
1,138,0.717391304347826,0.8495208495208495,0.9223561534117821
2,153,0.8562091503267973,0.7897293546148507,0.9514643410253011
3,94,0.6595744680851063,0.6577620967741935,0.8105682705938002
4,67,0.6268656716417911,0.5247619047619048,0.7066460942399261
5,43,0.5813953488372093,0.5644444444444444,0.7033218935478512
6,17,0.5882352941176471,0.9142857142857143,0.9532467532467531
7,20,0.7,0.2142857142857143,0.5960676670373707
8,59,0.22033898305084745,0.7508361204013377,0.4503663003663004
